world_rank|institution|country|national_rank
1|Harvard University|USA|1
2|Massachusetts Institute of Technology|USA|2
3|Stanford University|USA|3
4|University of Cambridge|United Kingdom|1
5|California Institute of Technology|USA|4
6|Princeton University|USA|5
7|University of Oxford|United Kingdom|2
8|Yale University|USA|6
9|Columbia University|USA|7
10|University of California Berkeley|USA|8
11|University of Chicago|USA|9
12|Cornell University|USA|10
13|University of Pennsylvania|USA|11
14|University of Tokyo|Japan|1
15|Johns Hopkins University|USA|12
16|Swiss Federal Institute of Technology in Zurich|Switzerland|1
17|Kyoto University|Japan|2
18|Weizmann Institute of Science|Israel|1
19|University of California Los Angeles|USA|13
20|University of California San Diego|USA|14
21|Rockefeller University|USA|15
22|Hebrew University of Jerusalem|Israel|2
23|New York University|USA|16
24|University of California San Francisco|USA|17
25|University of Wisconsin–Madison|USA|18
26|University of Illinois at Urbana–Champaign|USA|19
27|Duke University|USA|20
28|Imperial College London|United Kingdom|3
29|University of Texas Southwestern Medical Center|USA|21
30|University of Texas at Austin|USA|22
31|University College London|United Kingdom|4
32|Osaka University|Japan|3
33|Northwestern University|USA|23
34|University of Michigan Ann Arbor|USA|24
35|University of Toronto|Canada|1
36|University of North Carolina at Chapel Hill|USA|25
37|Washington University in St. Louis|USA|26
38|University of Utah|USA|27
39|University of Washington   Seattle|USA|28
40|University of California Santa Barbara|USA|29
41|McGill University|Canada|2
42|Purdue University West Lafayette|USA|30
43|Carnegie Mellon University|USA|31
44|University of Southern California|USA|32
45|University of California Davis|USA|33
46|University of Colorado Boulder|USA|34
47|University of California Irvine|USA|35
48|University of Paris Sud|France|1
49|University of Minnesota Twin Cities|USA|36
50|University of Arizona|USA|37
51|Technion – Israel Institute of Technology|Israel|3
52|Ohio State University Columbus|USA|38
53|University of Rochester|USA|39
54|École normale supérieure   Paris|France|2
55|University of Florida|USA|40
56|Tel Aviv University|Israel|4
57|Rice University|USA|41
58|Dartmouth College|USA|42
59|Vanderbilt University|USA|43
60|University of Edinburgh|United Kingdom|1
61|École Polytechnique|France|3
62|Boston University|USA|44
63|Pierre and Marie Curie University|France|4
64|Pennsylvania State University University Park|USA|45
65|University of Geneva|Switzerland|2
66|Brown University|USA|46
67|University of British Columbia|Canada|3
68|University of Maryland College Park|USA|47
69|Swiss Federal Institute of Technology in Lausanne|Switzerland|3
70|Karolinska Institute|Sweden|1
71|University of Pittsburgh   Pittsburgh Campus|USA|48
72|Rutgers University New Brunswick|USA|49
73|Texas A&M University College Station|USA|50
74|Nagoya University|Japan|4
75|Seoul National University|South Korea|1
76|University of Manchester|United Kingdom|5
77|Sapienza University of Rome|Italy|1
78|Case Western Reserve University|USA|51
79|Tohoku University|Japan|5
80|Arizona State University|USA|52
81|Emory University|USA|53
82|Ruprecht Karl University of Heidelberg|Germany|1
83|Ludwig Maximilian University of Munich|Germany|2
84|University of Virginia|USA|54
85|Leiden University|Netherlands|1
86|Tufts University|USA|55
87|Georgia Institute of Technology|USA|56
88|University of Zurich|Switzerland|4
89|University of Helsinki|Finland|1
90|Technical University of Munich|Germany|3
91|University of Oslo|Norway|1
92|University of Queensland|Australia|1
93|University of Copenhagen|Denmark|1
94|University of Sydney|Australia|2
95|Williams College|USA|57
96|University of Texas MD Anderson Cancer Center|USA|58
97|University of Nottingham|United Kingdom|6
98|University of Bristol|United Kingdom|7
99|Utrecht University|Netherlands|2
100|Mines ParisTech|France|5
70|Keio University|Japan|4
75|King's College London|United Kingdom|7
85|Indiana University   Bloomington|USA|52
87|National University of Singapore|Singapore|1
89|Stony Brook University|USA|54
90|Lomonosov Moscow State University|Russia|1
96|Australian National University|Australia|2
97|University of Alberta|Canada|4
99|Paris Diderot University   Paris 7|France|5
40|Waseda University|Japan|4
55|Peking University|China|1
64|University of Notre Dame|USA|42
65|National Taiwan University|Taiwan|1
87|Tsinghua University|China|2
92|Kyushu University|Japan|7
94|Katholieke Universiteit Leuven|Belgium|1
96|Tokyo Institute of Technology|Japan|8
97|University of Melbourne|Australia|2
98|University of Bonn|Germany|3
100|Royal Institute of Technology|Sweden|2
101|Erasmus University Rotterdam|Netherlands|2
107|Yonsei University|South Korea|2
112|Michigan State University|USA|59
114|University of the Witwatersrand|South Africa|1
116|Lund University|Sweden|3
118|Georgetown University|USA|61
119|Aarhus University|Denmark|2
120|University of Barcelona|Spain|1
121|Baylor College of Medicine|USA|62
122|University of Amsterdam|Netherlands|4
124|Uppsala University|Sweden|4
125|University of Iowa|USA|63
127|University of Groningen|Netherlands|5
128|Korea Advanced Institute of Science and Technology (KAIST)|South Korea|3
129|Radboud University Nijmegen|Netherlands|6
130|Korea University|South Korea|4
131|University of São Paulo|Brazil|1
133|University of Colorado Denver|USA|65
134|University of Montreal|Canada|5
135|Albert Ludwig University of Freiburg|Germany|5
136|Ghent University|Belgium|2
137|University of Glasgow|United Kingdom|9
138|University of Miami|USA|66
139|Université libre de Bruxelles|Belgium|3
141|McMaster University|Canada|6
142|University of Birmingham|United Kingdom|10
143|University of Texas at Dallas|USA|67
144|VU University Amsterdam|Netherlands|7
145|Wake Forest University|USA|68
